,previousIdentification,scientificName,observation
271,Perus major,Parus major,Updated according to IOC World Bird List
272,Phalacrocorax carbo,Phalacrocorax carbo,Ok (IOC World Bird List)
273,Phalaropus lobatus,Phalaropus lobatus,Ok (IOC World Bird List)
274,Phasianus colchicus,Phasianus colchicus,Ok (IOC World Bird List)
275,Phasianus colchius,Phasianus colchicus,Updated according to IOC World Bird List
276,Philomachus pugnax,Philomachus pugnax,Ok (BirdLife International)
277,Phoenicurus ochruros,Phoenicurus ochruros,Ok (IOC World Bird List)
278,Phoenicurus phoenicurus,Phoenicurus phoenicurus,Ok (IOC World Bird List)
279,Phylloscopus collybita,Phylloscopus collybita,Ok (IOC World Bird List)
280,Phylloscopus colybita,Phylloscopus collybita,Updated according to IOC World Bird List
281,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Ok (IOC World Bird List)
282,Phylloscopus trochillus,Phylloscopus trochilus,Updated according to IOC World Bird List
283,Phylloscopus trochiloides,Phylloscopus trochiloides,Ok (IOC World Bird List)
284,Phylloscopus trochilus,Phylloscopus trochilus,Ok (IOC World Bird List)
285,Phyloscopus collybita,Phylloscopus collybita,Updated according to IOC World Bird List
286,Phyloscopus trochilus,Phylloscopus trochilus,Updated according to IOC World Bird List
287,Pica pica,Pica pica,Ok (IOC World Bird List)
288,Picoides major,NA,NOT FOUND in IOC World Bird List or BirdLife International
289,Picoides tridactylus,Picoides tridactylus,Ok (IOC World Bird List)
290,Picus canaus,Picus canus,Updated according to IOC World Bird List
291,Picus canus,Picus canus,Ok (IOC World Bird List)
292,Picus viridis,Picus viridis,Ok (IOC World Bird List)
293,Picus viridus,Picus viridis,Updated according to IOC World Bird List
294,Platalea leucorodia,Platalea leucorodia,Ok (IOC World Bird List)
295,Plectrophenax nivalis,Plectrophenax nivalis,Ok (IOC World Bird List)
296,Plegadis falcinellus,Plegadis falcinellus,Ok (IOC World Bird List)
297,Pluvialis apricaria,Pluvialis apricaria,Ok (IOC World Bird List)
298,Pluvialis squatarola,Pluvialis squatarola,Ok (IOC World Bird List)
299,Podiceps auritus,Podiceps auritus,Ok (IOC World Bird List)
300,Podiceps cristatus,Podiceps cristatus,Ok (IOC World Bird List)
301,Podiceps grisegena,Podiceps grisegena,Ok (IOC World Bird List)
302,Podiceps griseigena,Podiceps grisegena,Updated according to IOC World Bird List
303,Podiceps nigricollis,Podiceps nigricollis,Ok (IOC World Bird List)
304,Podiceps ruficollis,NA,NOT FOUND in IOC World Bird List or BirdLife International
305,Poecile atricapillus,Poecile atricapillus,Ok (IOC World Bird List)
306,Poecile montanus,Poecile montanus,Ok (IOC World Bird List)
307,Poecile palustris,Poecile palustris,Ok (IOC World Bird List)
308,pokus,NA,NOT FOUND in IOC World Bird List or BirdLife International
309,Porphyrio porphyrio,Porphyrio porphyrio,Ok (IOC World Bird List)
310,Porzana parva,Porzana parva,Ok (BirdLife International)
311,Porzana porzana,Porzana porzana,Ok (IOC World Bird List)
312,Porzana pusilla,Porzana pusilla,Ok (BirdLife International)
313,Prunella collaris,Prunella collaris,Ok (IOC World Bird List)
314,Prunella modularis,Prunella modularis,Ok (IOC World Bird List)
315,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Ok (IOC World Bird List)
316,Pyrrhulla pyrrhula,Pyrrhula pyrrhula,Updated according to IOC World Bird List
317,Rallus aquaticus,Rallus aquaticus,Ok (IOC World Bird List)
318,Recurvirostra avosetta,Recurvirostra avosetta,Ok (IOC World Bird List)
319,Regulus ignicapilla,Regulus ignicapilla,Ok (IOC World Bird List)
320,Regulus ignicapillus,Regulus ignicapilla,Updated according to IOC World Bird List
321,Regulus regulus,Regulus regulus,Ok (IOC World Bird List)
